name	valid_species
Plesiomonas shigelloides	TRUE
Porphyromonas asaccharolytica	TRUE
Prevotella bivia	TRUE
Prevotella buccae	TRUE
Prevotella intermedia	TRUE
Prevotella melaninogenica	TRUE
Prevotella spp beta lactamase neg	FALSE
Prevotella spp beta lactamase pos	FALSE
Proteus mirabilis	TRUE
Proteus penneri	TRUE
Proteus vulgaris	TRUE
Providencia rettgeri	TRUE
Providencia stuartii	TRUE
Pseudomonas aeruginosa	TRUE
Pseudomonas aeruginosa ATCC 27853	FALSE
Pseudomonas fluorescens group	FALSE
Pseudomonas putida group	FALSE
Pseudomonas stutzeri group	FALSE
Rothia aeria	TRUE
Rothia dentocariosa	TRUE
Rothia mucilaginosa	TRUE
Salmonella agona	TRUE
Salmonella anatum	TRUE
Salmonella bareilly	TRUE
Salmonella berta	TRUE
Salmonella braenderup	TRUE
Salmonella derby	TRUE
Salmonella Dublin	TRUE
Salmonella enterica	TRUE
Salmonella Enteritidis	TRUE
Salmonella Group B	FALSE
Salmonella Group C	FALSE
Salmonella Group D	FALSE
Salmonella hadar	TRUE
Salmonella hartford	TRUE
Salmonella heidelberg	TRUE
Salmonella infantis	TRUE
Salmonella javiana	TRUE
Salmonella litchfield	TRUE
Salmonella manhattan	TRUE
Salmonella mbandaka	TRUE
Salmonella mississippi	TRUE
Salmonella montevideo	TRUE
Salmonella muenchen	TRUE
Salmonella newport	TRUE
Salmonella oranienburg	TRUE
Salmonella panama	TRUE
Salmonella Paratyphi	TRUE
Salmonella poona	TRUE
Salmonella rubislaw	TRUE
Salmonella saintpaul	TRUE
Salmonella sandiego	TRUE
Salmonella schwarzengrund	TRUE
Salmonella senftenberg	TRUE
Salmonella stanley	TRUE
Salmonella thompson	TRUE
Salmonella Typhi	TRUE
Salmonella Typhimurium	TRUE
Salmonella virchow	TRUE
Serratia liquefaciens	TRUE
Serratia marcescens	TRUE
Shigella flexneri	TRUE
Shigella sonnei	TRUE
Shigella spp	FALSE
Staphylococcus aureus	TRUE
Staphylococcus aureus ATCC 29213	FALSE
Staphylococcus aureus MRSA	TRUE
Staphylococcus aureus MSSA	TRUE
Staphylococcus auricularis	TRUE
Staphylococcus capitis	TRUE
Staphylococcus coagulase negative	FALSE
Staphylococcus cohnii	TRUE
Staphylococcus epidermidis	TRUE
Staphylococcus epidermidis MRSE	TRUE
Staphylococcus epidermidis MSSE	TRUE
Staphylococcus haemolyticus	TRUE
Staphylococcus hominis	TRUE
Staphylococcus hyicus	TRUE
Staphylococcus intermedius	TRUE
Staphylococcus lugdunensis	TRUE
Staphylococcus pseudintermedius	TRUE
Staphylococcus saprophyticus	TRUE
Staphylococcus simulans	TRUE
Staphylococcus warneri	TRUE
Staphylococcus xylosus	TRUE
Stenotrophomonas maltophilia	TRUE
Streptococcus acidominimus	TRUE
Streptococcus agalactiae	TRUE
Streptococcus anaerobic	TRUE
Streptococcus anginosus	TRUE
Streptococcus anginosus group	FALSE
Streptococcus bovis	TRUE
Streptococcus bovis equinus group	FALSE
Streptococcus canis	TRUE
Streptococcus constellatus	TRUE
Streptococcus dysgalactiae	TRUE
Streptococcus equi subspecies equi	TRUE
Streptococcus equi subspecies zooepidemicus	TRUE
Streptococcus equinus	TRUE
Streptococcus equisimilis	TRUE
Streptococcus gordonii	TRUE
Streptococcus group C	FALSE
Streptococcus group G	FALSE
Streptococcus intermedius	TRUE
Streptococcus mitis	TRUE
Streptococcus mitis group	FALSE
Streptococcus mutans	TRUE
Streptococcus oralis	TRUE
Streptococcus parasanguinis	TRUE
Streptococcus pneumoniae	TRUE
Streptococcus pneumoniae ATCC 49619	FALSE
Streptococcus pyogenes	TRUE
Streptococcus salivarius	TRUE
Streptococcus salivarius group	FALSE
Streptococcus sanguinis	TRUE
Streptococcus sanguinis group	FALSE
Streptococcus suis	TRUE
Streptococcus thermophilus	TRUE
Streptococcus uberis	TRUE
Streptococcus vestibularis	TRUE
Vibrio alginolyticus	TRUE
Vibrio cholerae	TRUE
Vibrio fluvialis	TRUE
Vibrio parahaemolyticus	TRUE
Vibrio vulnificus	TRUE
Yersinia enterocolitica	TRUE
